cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,absolute-pressure,      x-velocity,      y-velocity,      z-velocity
    142528,-6.607807241E-03,-3.408764303E-02,-1.692068763E-02,-5.334675000E+04,-3.661271334E-01, 1.628349423E+00, 2.995461702E+00
    142529,-6.508966908E-03,-3.473192453E-02,-1.696380973E-02,-5.269773438E+04,-3.192034662E-01, 1.599439621E+00, 2.928573370E+00
    142530,-7.324784994E-02, 1.731783897E-02, 3.396832943E-02,-4.991612500E+04, 6.820996106E-02,-4.869567975E-02,-7.269843817E-01
    142531,-6.489075255E-03,-3.486989066E-02,-1.801456325E-02,-5.313723438E+04,-4.050859213E-01, 1.542003989E+00, 2.883619547E+00
    142532,-9.887917899E-03,-6.723214686E-02, 1.056757011E-02,-4.053721875E+04, 7.807844877E-01, 1.949321985E+00, 4.545156002E+00
    142533,-1.247321889E-01,-9.836456180E-02, 3.762026504E-02,-4.944212500E+04, 7.141505182E-02,-2.562082410E-01,-9.452735782E-01
    142534, 1.452630502E-03,-2.669935580E-03,-2.193560824E-02, 3.093924219E+04,-6.104732752E-01, 1.068852544E+00, 2.843335152E+00
    142535,-6.814984605E-03,-3.501734510E-02,-2.712743357E-03,-5.635415625E+04,-3.335519135E-01, 2.149485826E+00, 4.353236675E+00
    142536, 3.350964107E-05,-8.574412763E-02,-2.820081636E-02, 4.561844531E+04, 7.231796980E-01, 9.746657014E-01, 2.931636095E+00
    142537,-7.255954295E-02, 1.738942601E-02, 3.336279839E-02,-5.089040625E+04, 1.357916892E-01,-1.505108774E-01,-7.302217484E-01
    142538,-1.303772777E-01, 3.803069470E-03, 6.610292196E-02,-1.481678906E+04,-1.050749660E+00,-1.722981691E+00, 3.458055496E+00
    142539, 5.542795174E-03,-7.547523081E-02,-9.251433425E-03, 5.195132813E+03, 7.496055365E-01, 1.617703795E+00, 3.557873726E+00
    142540,-4.393414780E-02, 3.271256015E-02, 6.715081632E-02,-6.848906250E+03,-1.380975366E+00, 3.879111707E-01, 2.931910753E+00
    142541,-3.370612115E-02,-1.153908670E-01, 3.145908192E-02,-4.743803125E+04, 1.771798611E+00, 8.107824922E-01, 4.694828987E+00
    142542,-6.910558790E-03,-3.439174592E-02,-3.008330707E-03,-5.746065625E+04,-3.086965680E-01, 2.130064726E+00, 4.389742374E+00
    142543,-3.891014308E-02, 1.113953814E-02, 5.270927027E-02,-3.548301563E+04,-1.593333721E+00, 8.653378487E-01, 4.457734585E+00
    142544,-1.192458495E-01,-7.510074973E-02,-2.480649156E-03,-1.003228125E+04, 1.006794691E+00,-1.440349340E+00, 3.937050104E+00
    142545,-3.960190713E-02, 1.147361379E-02, 5.212171376E-02,-3.685264063E+04,-1.571272016E+00, 8.724088669E-01, 4.512774467E+00
    142546,-1.285448074E-01, 6.196262781E-03, 6.610438973E-02,-1.447742969E+04,-1.377715826E+00,-1.788273335E+00, 3.853335142E+00
    142547,-1.435137838E-01,-2.692678571E-02, 5.487172306E-02,-3.824421875E+04,-3.678951785E-02,-4.441039264E-01, 3.335024118E-01
    142548,-8.779978752E-02, 3.314603865E-02, 9.012613446E-03,-3.640001563E+04,-1.626527786E+00,-5.053162575E-01, 3.844458103E+00
    142549,-1.296418756E-01,-9.094491601E-02, 1.921430603E-02,-5.700987500E+04,-2.429754660E-02, 2.528324723E-01,-5.849644542E-01
    142550,-1.004215144E-02,-2.182100341E-02,-2.185959741E-02, 3.361973438E+04,-5.937811732E-01, 1.504026890E+00, 3.124686003E+00
    142551,-9.672860801E-02, 3.000883758E-02, 2.464897186E-02,-4.289931250E+04,-1.825761676E+00,-6.977128386E-01, 4.370119572E+00
    142552,-4.314372316E-02,-1.185218245E-01, 5.483269691E-02,-3.622281250E+04, 1.742252260E-01,-9.102897346E-02,-4.927826226E-01
    142553,-1.265925765E-01, 8.496449329E-03, 6.610155106E-02,-1.252410156E+04,-1.312723041E+00,-1.430394292E+00, 3.504258871E+00
    142554,-5.470985547E-02, 1.610178500E-02,-2.733962238E-02, 4.733321484E+04,-1.290466785E+00, 1.430308521E-01, 2.850012779E+00
    142555, 1.794254757E-03,-8.285760880E-02,-4.588566720E-02, 5.471721875E+04, 1.665305942E-01, 1.411626041E-01, 2.893653631E+00
    142556,-3.644688055E-02,-9.815727174E-02, 1.875985973E-02,-5.875745313E+04, 1.784628749E+00, 9.738250971E-01, 4.766927719E+00
    142557,-3.706575930E-02,-9.850453585E-02, 1.935322769E-02,-6.072175000E+04, 1.902261615E+00, 9.841205478E-01, 4.867136002E+00
    142558, 4.960741848E-03,-9.681022726E-03, 2.310243668E-03,-5.645304688E+04, 3.464263082E-01,-4.960935414E-01,-7.715783715E-01
    142559,-4.679673910E-02,-1.188571453E-01, 6.439186633E-02,-3.087651563E+04, 2.128941298E+00, 1.667747200E-01, 1.163052320E+00
    142560, 9.799974039E-03,-6.026531756E-02, 5.581196025E-02,-4.910104688E+04, 8.524057269E-02, 9.276106954E-01, 2.171383649E-01
    142561, 7.904413156E-03,-7.069920748E-02, 3.306205571E-02,-6.009253125E+04, 3.404819071E-01, 5.941858888E-01, 8.814319968E-02
    142562,-3.697289154E-02,-9.845282137E-02, 2.022477984E-02,-5.884498438E+04, 1.826506138E+00, 9.142136574E-01, 4.699204922E+00
    142563,-4.970606044E-02,-1.195738465E-01, 6.460536271E-02,-2.890786719E+04, 2.062038183E+00, 6.099897623E-02, 1.480783939E+00
    142564, 3.521139268E-03,-8.079458028E-02, 9.495731443E-03,-6.035698438E+04,-4.270640761E-02,-1.121918708E-01,-3.184117973E-01
    142565,-9.069292247E-02, 3.124062717E-02, 5.498469621E-02,-4.417798438E+04,-5.579231381E-01,-2.627062500E-01, 1.422631741E-01
    142566,-1.460799277E-01,-4.636633024E-02,-4.365461692E-02, 2.326148438E+04, 5.399264395E-02, 1.052140236E+00, 3.612538338E+00
    142567,-9.976834804E-02, 7.785213646E-03,-6.571331993E-03,-5.542817188E+04,-1.479452491E+00,-1.133396149E+00, 4.972867966E+00
    142568,-3.418639675E-02,-1.156135798E-01, 2.991062962E-02,-4.700396875E+04, 1.822099924E+00, 8.268096447E-01, 4.670982838E+00
    142569,-1.005276740E-01, 7.190035190E-03,-8.786266670E-03,-5.889251563E+04,-1.487707853E+00,-1.197723269E+00, 4.775445461E+00
    142570,-1.007058546E-01, 7.072126493E-03,-8.163936436E-03,-5.993767188E+04,-1.535850883E+00,-1.133447409E+00, 4.811597347E+00
    142571, 7.740927860E-03,-6.914412230E-02,-4.587174580E-02, 3.427621875E+04, 5.045570433E-02, 1.973735690E-01, 3.467478275E+00
    142572,-1.002970859E-01, 7.445652969E-03,-6.424385123E-03,-5.792181250E+04,-1.673233032E+00,-1.116687417E+00, 4.829689503E+00
    142573,-7.393403351E-02,-1.227635220E-01, 6.641674042E-02,-1.417104688E+04, 2.120662689E+00,-7.142709196E-02, 3.339872122E+00
    142574,-1.280128509E-01,-9.486769885E-02,-4.507204145E-02, 3.483316406E+04, 1.375370175E-01,-1.642040759E-01, 3.276991129E+00
    142575,-1.269782782E-01,-5.476344377E-02,-4.164228216E-02, 9.075765625E+04,-2.307301611E-01,-2.448150367E-01, 1.095629334E+00
    142576,-6.195388734E-02, 1.857234910E-02, 6.865508109E-02,-2.815377344E+04,-2.309027672E+00, 4.846026003E-01, 3.986903906E+00
    142577,-7.693022490E-02,-1.224232092E-01, 6.641674042E-02,-1.065773438E+04, 2.322849512E+00,-3.225392699E-01, 3.417858124E+00
    142578,-1.239569783E-01,-6.672741473E-02, 1.920961030E-02,-5.413028125E+04, 1.941001564E-01,-7.174211144E-01, 2.122972250E+00
    142579,-1.235150024E-01,-1.875873283E-02,-4.152911901E-02, 3.434996094E+04,-2.787934244E-01,-5.248486996E-01, 3.359087706E+00
    142580,-4.021026939E-02, 1.175799221E-02, 5.055818707E-02,-3.696789063E+04,-1.561995387E+00, 8.647484183E-01, 4.555433273E+00
    142581,-1.299116611E-01,-9.251187742E-02,-4.506484419E-02, 4.191460156E+04, 1.450507492E-01,-2.357432544E-01, 3.033517361E+00
    142582,-1.246848255E-01,-6.489366293E-02, 1.934182271E-02,-5.362698438E+04, 3.245435059E-01,-1.049327254E+00, 3.091347694E+00
    142583,-1.242956966E-01,-6.590371579E-02, 1.866651699E-02,-5.303421875E+04, 2.622666061E-01,-6.187472343E-01, 2.403155804E+00
    142584,-1.170955449E-01,-1.053606868E-01, 2.024425194E-02,-3.743923438E+04, 1.441646338E+00,-1.158078671E+00, 4.474142075E+00
    142585,-4.904069006E-02, 1.466166042E-02,-1.307544485E-02,-7.482839063E+04,-1.776049614E+00, 3.950668275E-01, 2.800211191E+00
    142586,-4.954047501E-02, 1.481270976E-02,-1.289067604E-02,-7.514709375E+04,-1.804825664E+00, 4.185745418E-01, 2.879786491E+00
    142587,-1.245552003E-01,-6.524069607E-02, 1.703353599E-02,-5.359482813E+04, 2.530939281E-01,-6.660261154E-01, 2.583034515E+00
    142588,-1.247442588E-01,-6.473335624E-02, 2.054207772E-02,-4.961896875E+04, 3.129714429E-01,-1.017410398E+00, 3.329505682E+00
    142589,-4.936586320E-02, 1.476083323E-02,-1.389004197E-02,-7.269117188E+04,-1.734603882E+00, 2.759737670E-01, 2.563127279E+00
    142590,-1.144367270E-02,-1.789420098E-02, 8.704565465E-03,-5.078439063E+04, 4.163815677E-01,-3.343871534E-01,-3.497556746E-01
